length,left_height,right_height,lower_inner_frame
214.9,130.5,130.2,10.6
214.6,130.2,130.4,10.5
214.2,130,130.2,11
214.8,130.1,130.1,11.9
214.6,129.8,130.2,10.7
214.9,130.7,130.3,9.3
214.6,130.4,130.4,11.3
214.5,130.5,130.2,11.8
214.8,130.2,130.3,10
214.7,130,129.4,10.2
214.6,130.2,130.4,11.2
215,130.5,130.4,10.6
214.5,129.8,129.8,11.4
214.9,130.6,130.4,11.9
215,130.5,130.4,11.4
215.3,130.6,130.3,9.3
214.7,130.2,130.1,10.7
214.9,129.9,130,9.9
214.9,130.3,129.9,11.9
214.6,129.9,129.7,11.9
214.6,129.7,129.3,10.4
214.5,130.1,130.1,12.1
214.5,130.3,130,11
215.1,130,130.3,11.6
214.2,129.7,129.6,10.3
214.4,130.1,130,11.3
214.8,130.4,130.6,12.5
214.6,130.6,130.1,8.1
215.6,130.1,129.7,7.4
214.9,130.5,130.1,9.9
214.6,130.1,130,11.5
214.7,130.1,130.2,11.6
214.3,130.3,130,11.4
215.1,130.3,130.6,10.3
216.3,130.7,130.4,10
215.6,130.4,130.1,9.6
214.8,129.9,129.8,9.6
214.9,130,129.9,11.4
213.9,130.7,130.5,8.7
214.2,130.6,130.4,12
214.8,130.5,130.3,11.8
214.8,129.6,130,10.4
214.8,130.1,130,11.4
214.9,130.4,130.2,11.9
214.3,130.1,130.1,11.6
214.5,130.4,130,9.9
214.8,130.5,130.3,10.2
214.5,130.2,130.4,8.2
215,130.4,130.1,11.4
214.8,130.6,130.6,8
215,130.5,130.1,11
214.6,130.5,130.4,10.1
214.7,130.2,130.1,10.7
214.7,130.4,130,11.5
214.5,130.4,130,8
214.8,130,129.7,11.4
214.8,129.9,130.2,9.6
214.6,130.3,130.2,12.7
215.1,130.2,129.8,10.2
215.4,130.5,130.6,8.8
214.7,130.3,130.2,10.8
215,130.5,130.3,9.6
214.9,130.3,130.5,11.6
215,130.4,130.3,9.9
215.1,130.3,129.9,10.3
214.8,130.3,130.4,10.6
214.7,130.7,130.8,11.2
214.3,129.9,129.9,10.2
